UCSD_Adrenal_Gland.bed	youngh3k27ac	UCSD_Adrenal_Gland	h3k27ac
UCSD_Aorta.bed	youngh3k27ac	UCSD_Aorta	h3k27ac
UCSD_Bladder.bed	youngh3k27ac	UCSD_Bladder	h3k27ac
UCSD_Esophagus.bed	youngh3k27ac	UCSD_Esophagus	h3k27ac
UCSD_Gastric.bed	youngh3k27ac	UCSD_Gastric	h3k27ac
UCSD_Left_Ventricle.bed	youngh3k27ac	UCSD_Left_Ventricle	h3k27ac
UCSD_Lung.bed	youngh3k27ac	UCSD_Lung	h3k27ac
UCSD_Ovary.bed	youngh3k27ac	UCSD_Ovary	h3k27ac
UCSD_Pancreas.bed	youngh3k27ac	UCSD_Pancreas	h3k27ac
UCSD_Psoas_Muscle.bed	youngh3k27ac	UCSD_Psoas_Muscle	h3k27ac
UCSD_Right_Atrium.bed	youngh3k27ac	UCSD_Right_Atrium	h3k27ac
UCSD_Right_Ventricle.bed	youngh3k27ac	UCSD_Right_Ventricle	h3k27ac
UCSD_Sigmoid_Colon.bed	youngh3k27ac	UCSD_Sigmoid_Colon	h3k27ac
UCSD_Small_Intestine.bed	youngh3k27ac	UCSD_Small_Intestine	h3k27ac
UCSD_Spleen.bed	youngh3k27ac	UCSD_Spleen	h3k27ac
UCSD_Thymus.bed	youngh3k27ac	UCSD_Thymus	h3k27ac
VACO_400.bed	youngh3k27ac	VACO_400	h3k27ac
VACO_503.bed	youngh3k27ac	VACO_503	h3k27ac
VACO_9M.bed	youngh3k27ac	VACO_9M	h3k27ac
panc1.bed	youngh3k27ac	panc1	h3k27ac
u87.bed	youngh3k27ac	u87	h3k27ac
